Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
United Kingdom,292860,41364.0,1278,250218.0,1272,151,9,14.12,0.44,3236.62,283079,9781,3.46,Europe
Uruguay,847,23.0,772,52.0,0,0,14,2.72,91.15,2.98,832,15,1.8,Americas
Uzbekistan,4741,19.0,3637,1085.0,118,0,105,0.4,76.71,0.52,3939,802,20.36,Europe
Venezuela,2814,23.0,487,2304.0,76,0,0,0.82,17.31,4.72,2087,727,34.83,Americas
Vietnam,332,0.0,321,11.0,0,0,1,0.0,96.69,0.0,328,4,1.22,Western Pacific
West Bank and Gaza,487,3.0,410,74.0,2,0,0,0.62,84.19,0.73,464,23,4.96,Eastern Mediterranean
Western Sahara,9,1.0,6,2.0,0,0,0,11.11,66.67,16.67,9,0,0.0,Africa
Yemen,591,0.0,0,591.0,31,0,0,0.0,0.0,0.0,453,138,30.46,Eastern Mediterranean
Zambia,1200,10.0,912,278.0,0,0,0,0.83,76.0,1.1,1089,111,10.19,Africa
Zimbabwe,332,4.0,51,277.0,12,0,2,1.2,15.36,7.84,237,95,40.08,Africa
